node_id,x,y,degree_at_node_0,degree_at_node_1,degree_at_node_2,degree_at_node_3,degree_at_node_4,degree_at_node_5,degree_at_node_6,degree_at_node_7,degree_at_node_8,degree_at_node_9,degree_at_node_10,degree_at_node_11,degree_at_node_12,degree_at_node_13,degree_at_node_14,degree_at_node_15,degree_at_node_16,degree_at_node_17,degree_at_node_18,degree_at_node_19,degree_at_node_20,degree_at_node_21,degree_at_node_22,degree_at_node_23,degree_at_node_24,degree_at_node_25,degree_at_node_26,degree_at_node_27,degree_at_node_28,degree_at_node_29,degree_at_node_30,degree_at_node_31,degree_at_node_32,degree_at_node_33,degree_at_node_34,degree_at_node_35,degree_at_node_36,degree_at_node_37,degree_at_node_38,degree_at_node_39,degree_at_node_40,degree_at_node_41,degree_at_node_42,degree_at_node_43,degree_at_node_44,degree_at_node_45,degree_at_node_46,degree_at_node_47,degree_at_node_48,degree_at_node_49,degree_at_node_50,degree_at_node_51,degree_at_node_52,degree_at_node_53,degree_at_node_54,degree_at_node_55,degree_at_node_56,degree_at_node_57,degree_at_node_58,degree_at_node_59,target_0_x,target_0_y,target_1_x,target_1_y
40,4.473550827426585,0.283876170318619,4,13,12,8,6,4,4,9,6,5,7,3,5,2,4,2,4,3,2,7,2,3,2,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.680376276568161,-0.6270990685184819,2.8287997935688542,-2.22509367383031
41,3.3265226885447206,-2.107403270701141,4,14,12,8,6,4,4,9,6,5,7,3,6,2,4,2,4,3,2,7,2,3,2,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6186714168029059,-0.45857014093585224,1.1695796413948267,-0.3210245108392269
42,-1.284332206609439,2.6406323103078746,4,15,12,8,6,4,4,9,6,5,7,3,6,2,5,2,4,3,2,7,2,3,2,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6186714168029059,-0.45857014093585224,-0.16176243330158346,0.5817931517489705
43,0.03614373079588162,3.0,4,15,12,9,6,4,4,9,6,5,7,3,6,2,5,2,5,3,2,7,2,3,2,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3551973465247906,1.179796449399321,-1.6855926971144313,0.3340031039354616
44,3.008071563221959,-1.4505310325375418,4,16,12,9,6,4,4,9,6,6,7,3,6,2,5,2,5,3,2,7,2,3,2,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6186714168029059,-0.45857014093585224,0.4674690931572574,-1.4475312021135827
45,-0.3071488226880712,1.8189268347203074,4,17,12,9,6,4,4,10,6,6,7,3,6,2,5,2,5,3,2,7,2,3,2,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6186714168029059,-0.45857014093585224,1.0970108166040093,-0.9630888865465215
46,3.247142305203024,-0.40090635821764975,4,18,12,9,6,4,4,10,6,7,7,3,6,2,5,2,5,3,2,7,2,3,2,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6186714168029059,-0.45857014093585224,0.4674690931572574,-1.4475312021135827
47,-1.0970240148166015,-2.3432692270567665,4,18,13,9,6,4,4,11,6,7,7,3,6,2,5,2,5,3,2,7,2,3,2,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.4428382455446025,0.04560861092717028,1.0970108166040093,-0.9630888865465215
48,3.5356195014203227,-0.05372212840425172,4,18,13,9,6,4,4,11,6,7,7,3,6,2,6,2,5,3,2,7,2,3,2,2,3,2,2,2,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,-0.7570511883979547,-1.252569283486275,-0.16176243330158346,0.5817931517489705
49,-4.706262230692152,0.6418798594916209,4,19,13,9,6,4,4,11,6,7,7,3,6,2,6,2,5,3,2,8,2,3,2,2,3,2,2,2,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0.6186714168029059,-0.45857014093585224,-0.9762785023492535,1.208760154465602
50,-2.541012410848346,-0.8580295295560849,4,19,13,10,6,4,4,11,6,7,7,3,6,2,6,2,5,3,2,8,2,3,2,2,3,2,2,2,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,0,0,0,0,0,0,0,0,0,-1.6855926971144313,0.3340031039354616,-1.0970240148166015,-2.3432692270567665
51,4.4276567696282285,-1.513162421753771,4,20,13,10,6,4,4,12,6,7,7,3,6,2,6,2,5,3,2,8,2,3,2,2,3,2,2,2,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0.6186714168029059,-0.45857014093585224,1.0970108166040093,-0.9630888865465215
52,4.839429591476074,0.9013588613081707,4,20,13,10,6,4,4,12,6,7,7,3,6,2,7,2,5,3,2,8,2,3,2,2,3,2,2,2,2,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,0,0,0,0,0,0,0,-0.16176243330158346,0.5817931517489705,2.0141261276165308,0.04999303760456142
53,-4.459018052936981,1.8545461701621537,4,20,13,10,6,4,4,12,6,7,7,3,6,3,7,2,5,3,2,8,2,4,2,2,3,2,2,2,2,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,0,0,0,0,0,0,-2.6849630929556105,2.0278731929105183,-4.472490868393806,-0.9951814798648946
54,1.192815589920592,2.95535152164073,4,20,13,10,6,4,4,12,6,7,7,3,6,3,7,2,5,3,2,9,2,4,2,2,3,2,2,2,2,2,3,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,0,0,0,0,0,-0.9762785023492535,1.208760154465602,2.0141261276165308,0.04999303760456142
55,-2.5471430631522334,-2.635562030033355,4,20,13,10,6,4,4,13,6,7,7,3,6,4,7,2,5,3,2,9,2,4,2,2,3,2,2,2,2,2,3,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,0,0,0,0,-4.472490868393806,-0.9951814798648946,1.0970108166040093,-0.9630888865465215
56,3.4536438697139378,1.815647755157964,4,20,13,10,6,4,4,13,6,7,8,3,6,4,7,2,5,3,2,9,2,4,2,2,3,2,2,2,2,2,3,6,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,0,0,0,0.4502565152570366,0.09503172751073574,-0.3071488226880712,1.8189268347203074
57,-4.293829466567999,1.6818875102531923,4,20,13,10,7,4,4,13,6,7,8,3,6,4,8,2,5,3,2,9,2,4,2,2,3,2,2,2,2,2,3,6,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,0,0,-0.7404254024283325,1.41003903995753,-0.16176243330158346,0.5817931517489705
58,0.9875221634590119,1.7381672735450513,4,20,14,10,7,4,4,13,6,7,8,3,6,4,8,2,5,3,2,9,2,4,2,2,3,2,2,2,2,2,3,6,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,0,-2.541012410848346,-0.8580295295560849,-0.4428382455446025,0.04560861092717028
59,1.4543057769859669,-2.4408489375694113,4,21,14,10,7,4,4,13,6,7,8,3,6,4,9,2,5,3,2,9,2,4,2,2,3,2,2,2,2,2,3,6,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,0.6186714168029059,-0.45857014093585224,-0.16176243330158346,0.5817931517489705
